"BehaviorSpace results (NetLogo 6.1.0)"
"predator-prey-model-revised-17_03_2020-for_cheetah_vs_impala.nlogo"
"cheetah vs impala - open savanna"
"05/28/2020 09:09:57:529 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-200","200","-200","200"
"[run number]","prey-max-velocity","prey-agility","prey-acceleration","prey-deceleration","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-max-velocity","predator-agility","predator-acceleration","predator-deceleration","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"7","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","6392","57","0.010006156678130112","0","1","35","206.20000000000002","319.55","800.4841110637788","79.971835970853","0.07142437305472346","0.307659111416552","exhausted","pursue","1"
"4","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","6979","59","0.010006156678130112","0","1","191.65","157.3","348.90000000000003","365.33743529292457","174.6481438522594","0.17949317132077838","0.26892870081869735","escape","pursue","1"
"5","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","7618","59","0.010006156678130112","0","1","322.3","58.6","380.85","131.90424890598294","77.22320246753205","0.14710032106704177","0.2695155657358698","escape","pursue","1"
"10","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","1789","58","0.010006156678130112","0","1","0.25","89.2","89.4","158.3470642625538","92.0884813373975","0.22708436895002926","0.4373577551801693","escape","pursue","1"
"1","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","8181","58","0.010006156678130112","0","1","345","64.05","409","222.32433229008404","55.87642887916671","0.0699404810454031","0.22751336279164452","escape","pursue","1"
"2","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","13138","58","0.010006156678130112","0","1","465.55","191.35000000000002","656.85","401.62398304693204","105.49846726157205","0.16893744933114868","0.49742506178105517","escape","pursue","1"
"9","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","8995","59","0.010006156678130112","0","1","315.1","134.6","449.70000000000005","323.83687201229844","207.60739230019342","0.11637974407260344","0.2388746976762468","escape","pursue","1"
"3","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","15249","55","0.010006156678130112","0","1","701.1500000000001","61.300000000000004","762.4000000000001","136.82001919340382","74.80552801480762","0.13776074360235566","0.33791795020678483","escape","pursue","1"
"11","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","8359","59","0.010006156678130112","0","1","204.15","213.8","417.90000000000003","713.981875922705","125.39382093045985","0.06948685672974933","0.343003484679426","escape","pursue","1"
"15","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","5043","56","0.010006156678130112","0","1","25.200000000000003","226.95000000000002","252.10000000000002","616.4066529939843","87.38602416166962","0.10207836583764555","0.2885902375816466","escape","pursue","1"
"6","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","17959","59","0.010006156678130112","0","1","862.5500000000001","35.45","897.9000000000001","75.68884312261032","45.10501747865339","0.16731256196170305","0.3857044281552196","escape","pursue","1"
"8","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","57","0.010006156678130112","1","0","0","0","899.95","0","0","0","0","forage","search","0"
"18","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","1264","58","0.010006156678130112","0","1","25.3","37.9","63.150000000000006","69.31481046878103","67.07019356904497","0.21243835089939997","0.2043248921508181","escape","pursue","1"
"16","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","2374","61","0.010006156678130112","0","1","101.80000000000001","16.900000000000002","118.65","37.868614722629275","31.6494946651807","0.26444593465851374","0.18264066155369607","escape","pursue","1"
"17","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","11188","58","0.010006156678130112","1","0","255.25","299.40000000000003","559.35","660.006755975992","299.96977198540003","0.1747141979094804","0.3565123783741585","escape","pursue","1"
"12","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","60","0.010006156678130112","1","0","0","0","899.95","0","0","0","0","forage","search","0"
"19","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","10023","58","0.010006156678130112","0","1","355.45000000000005","145.70000000000002","501.1","341.7001628247268","182.20731025120145","0.15003406743154804","0.2955599462924665","escape","pursue","1"
"14","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","15641","55","0.010006156678130112","0","1","454.15000000000003","196.3","782","478.29154329968446","182.19968352626387","0.14798854298004965","0.32465352169942807","escape","pursue","1"
"22","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","6643","58","0.010006156678130112","0","1","308.45000000000005","23.700000000000003","332.1","39.11011918521089","35.64193569048749","0.26202594892458936","0.27436940588811076","escape","pursue","1"
"13","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","17455","57","0.010006156678130112","0","1","859.45","13.3","872.7","38.55861687370183","19.208477573631008","0.10381846425066038","0.300273215738814","escape","pursue","1"
"27","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","684","62","0.010006156678130112","0","1","0.05","34.15","34.15","88.96984272281148","45.187238065104395","0.1664057657974167","0.38054393954959204","escape","pursue","1"
"26","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","3450","55","0.010006156678130112","0","1","73.25","99.25","172.45000000000002","230.4101785949984","62.47007731414117","0.14640255991143228","0.3462639751933594","escape","pursue","1"
"21","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","15757","59","0.010006156678130112","1","0","485.6","302.2","787.8000000000001","783.4326500797521","299.94672343306115","0.1254561378667557","0.30763042811952057","escape","pursue","1"
"24","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","7268","61","0.010006156678130112","0","1","253.75","109.60000000000001","363.35","232.86121455198392","135.0973481404725","0.15520990911142793","0.3479034987703007","escape","pursue","1"
"31","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","564","57","0.010006156678130112","0","1","0.05","28.150000000000002","28.150000000000002","78.74400164190101","47.802142761044706","0.12691439634138815","0.1582326594933929","escape","pursue","1"
"28","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","7539","59","0.010006156678130112","1","0","87.35000000000001","217.4","376.90000000000003","551.5562078289566","299.849298246977","0.10932809938413546","0.23459428200523028","escape","pursue","1"
"29","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","5580","59","0.010006156678130112","0","1","247.35000000000002","31.650000000000002","278.95","55.31017166640212","44.82490949777421","0.27116398372615325","0.27392426724086444","escape","pursue","1"
"33","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","6702","59","0.010006156678130112","0","1","0.15000000000000002","211.85000000000002","335.05","800.5119439115897","119.39961446034783","0.05817176370103269","0.3418789676181556","exhausted","pursue","1"
"32","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","3676","58","0.010006156678130112","0","1","108.15","75.65","183.75","124.8815823557502","75.69234559246483","0.2490294345641669","0.44626421002509487","escape","pursue","1"
"20","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","58","0.010006156678130112","1","0","0","0","899.95","0","0","0","0","forage","search","0"
"36","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","913","58","0.010006156678130112","0","1","1.6500000000000001","45.6","45.6","101.2852908750272","45.799936468192485","0.17197821806629077","0.42779856122846766","escape","pursue","1"
"35","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","4615","58","0.010006156678130112","0","1","115.45","115.30000000000001","230.70000000000002","301.23739607958214","54.898340264559295","0.10644627881463059","0.3035377412235465","escape","pursue","1"
"38","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","2208","59","0.010006156678130112","0","1","0.05","110.35000000000001","110.35000000000001","288.9731358384669","121.30888887317506","0.16489636286568876","0.2425801449901135","escape","pursue","1"
"25","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","60","0.010006156678130112","1","0","480","260.90000000000003","899.95","782.5689587592017","137.76956785666016","0.09174353543999374","0.24443182706132416","escape","pursue","1"
"30","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","10238","58","0.010006156678130112","0","1","463.20000000000005","48.7","511.85","101.32325151166607","91.32888108578588","0.15518170844863705","0.21394691445166064","escape","pursue","1"
"42","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","1375","58","0.010006156678130112","0","1","0.05","68.7","68.7","189.5408776850734","46.35548277150048","0.10851589377155745","0.19873969956702286","escape","pursue","1"
"23","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","55","0.010006156678130112","1","0","0","0","899.95","0","0","0","0","forage","search","0"
"40","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","4605","58","0.010006156678130112","0","1","0.05","220.60000000000002","230.20000000000002","669.0042355727192","152.01931694963204","0.08754710039177152","0.3113803019479671","escape","pursue","1"
"39","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","6753","59","0.010006156678130112","0","1","250.55","87.10000000000001","337.6","218.68595564663067","132.84758825883387","0.11078602080670245","0.2925063734287151","escape","pursue","1"
"41","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","6454","58","0.010006156678130112","0","1","270","52.7","322.65000000000003","98.84418663641625","59.26781441667518","0.2853458887959127","0.3435013038958833","escape","pursue","1"
"44","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","4603","61","0.010006156678130112","0","1","106.10000000000001","124.2","230.10000000000002","228.64148668045675","125.21081720599585","0.18833722015631352","0.3991002461299445","escape","pursue","1"
