"","predator.limb.length","obstacle.proportion","prob.escape.if.detected","median.detect.time"
"1",0.1,0,0.302,70.8
"198",0.1,0.05,0.136,73.275
"375",0.1,0.1,0.176470588235294,108.3
"572",0.1,0.15,0.263616557734205,223.95
"777",0.1,0.2,0.571030640668524,407.4
"963",0.2,0,0.316,44.6
"1168",0.2,0.05,0.194,50.225
"1382",0.2,0.1,0.122736418511066,79.1
"1574",0.2,0.15,0.204968944099379,120.85
"1774",0.2,0.2,0.301098901098901,248.55
"1962",0.3,0,0.308617234468938,45.8
"2170",0.3,0.05,0.16,74.2
"2380",0.3,0.1,0.146586345381526,86.25
"2571",0.3,0.15,0.172413793103448,153.45
"2767",0.3,0.2,0.306167400881057,241.175
"2962",0.4,0,0.242,56.95
"3174",0.4,0.05,0.21,63.525
"3380",0.4,0.1,0.186746987951807,94.825
"3583",0.4,0.15,0.224532224532225,167.05
"3777",0.4,0.2,0.350230414746544,218.35
"3962",0.5,0,0.266533066132265,57.35
"4168",0.5,0.05,0.238476953907816,70.75
"4379",0.5,0.1,0.203219315895372,114.95
"4570",0.5,0.15,0.284188034188034,182.3
"4773",0.5,0.2,0.405194805194805,244.7
"4962",0.6,0,0.302,73.525
"5172",0.6,0.05,0.254509018036072,67.6
"5384",0.6,0.1,0.221544715447154,128.2
"5568",0.6,0.15,0.289473684210526,155.25
"5774",0.6,0.2,0.405913978494624,244.9
"5963",0.7,0,0.278,71.9
"6168",0.7,0.05,0.250501002004008,95.7
"6376",0.7,0.1,0.240740740740741,114.15
"6586",0.7,0.15,0.31236442516269,209.35
"6764",0.7,0.2,0.384,225.25
"6963",0.8,0,0.312,62.125
"7169",0.8,0.05,0.275100401606426,92.45
"7382",0.8,0.1,0.264765784114053,110.8
"7571",0.8,0.15,0.36117381489842,203.95
"7771",0.8,0.2,0.458445040214477,256.55
"7962",0.9,0,0.264529058116232,86.05
"8173",0.9,0.05,0.298597194388778,92.45
"8366",0.9,0.1,0.255670103092783,143.85
"8581",0.9,0.15,0.419501133786848,218.5
"8771",0.9,0.2,0.540389972144847,242.45
"8964",1,0,0.282565130260521,86.9
"9172",1,0.05,0.319919517102616,113.4
"9382",1,0.1,0.308163265306122,144.675
"9569",1,0.15,0.409195402298851,202.4
"9764",1,0.2,0.504477611940298,255.85
