"","predator.limb.length","obstacle.proportion","prob.never.detected"
"1",0.1,0,0
"198",0.1,0.05,0
"375",0.1,0.1,0.014
"572",0.1,0.15,0.082
"777",0.1,0.2,0.282
"963",0.2,0,0
"1168",0.2,0.05,0
"1382",0.2,0.1,0.00600000000000001
"1574",0.2,0.15,0.034
"1774",0.2,0.2,0.09
"1962",0.3,0,0.002
"2170",0.3,0.05,0
"2380",0.3,0.1,0.004
"2571",0.3,0.15,0.014
"2767",0.3,0.2,0.092
"2962",0.4,0,0
"3174",0.4,0.05,0
"3380",0.4,0.1,0.004
"3583",0.4,0.15,0.038
"3777",0.4,0.2,0.132
"3962",0.5,0,0.002
"4168",0.5,0.05,0.002
"4379",0.5,0.1,0.00600000000000001
"4570",0.5,0.15,0.0639999999999999
"4773",0.5,0.2,0.23
"4962",0.6,0,0
"5172",0.6,0.05,0.002
"5384",0.6,0.1,0.016
"5568",0.6,0.15,0.088
"5774",0.6,0.2,0.256
"5963",0.7,0,0
"6168",0.7,0.05,0.002
"6376",0.7,0.1,0.028
"6586",0.7,0.15,0.078
"6764",0.7,0.2,0.25
"6963",0.8,0,0
"7169",0.8,0.05,0.004
"7382",0.8,0.1,0.018
"7571",0.8,0.15,0.114
"7771",0.8,0.2,0.254
"7962",0.9,0,0.002
"8173",0.9,0.05,0.002
"8366",0.9,0.1,0.03
"8581",0.9,0.15,0.118
"8771",0.9,0.2,0.282
"8964",1,0,0.002
"9172",1,0.05,0.00600000000000001
"9382",1,0.1,0.02
"9569",1,0.15,0.13
"9764",1,0.2,0.33
