"BehaviorSpace results (NetLogo 6.1.1)"
"predator-prey-model-revised-17_03_2020.nlogo"
"PS 055"
"04/06/2020 20:28:32:183 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","prey-limb-length","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-limb-length","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"38","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","227","93","0.05004166483926144","0","1","10.3","1.05","11.3","0.6302994725489677","2.8379668096211175","0.9668963686950401","0.04698243578663828","escape","pursue","1"
"23","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","2332","89","0.05004166483926144","0","1","2","114.60000000000001","116.55000000000001","275.7947303816083","56.26903966699796","0.25156807670398296","0.29894627041149463","escape","pursue","1"
"29","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","410","92","0.05004166483926144","0","1","20.35","0","20.450000000000003","0","0","0","0","escape","pursue","1"
"14","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1507","90","0.05004166483926144","0","1","9.600000000000001","65.75","75.3","193.95567066641175","16.120445227718218","0.12483488303525112","0.4611581578826723","escape","pursue","1"
"39","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1153","94","0.05004166483926144","0","1","57.6","0","57.6","0","0","0","0","forage","stalk","1"
"25","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","899","85","0.05004166483926144","0","1","33.050000000000004","6.9","44.900000000000006","12.660522667137917","8.29844913041029","0.17542863757164623","0.3725720599638312","escape","pursue","1"
"28","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1456","87","0.05004166483926144","1","0","13.25","59.550000000000004","72.75","185.71073944848786","18.63774560030539","0.09762073460511769","0.3220540734069095","safe","search","1"
"15","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","933","90","0.05004166483926144","0","1","41.800000000000004","4.8500000000000005","46.6","9.484043804238073","4.049730567634703","0.6195398418255422","0.31296382539079726","escape","pursue","1"
"19","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1121","89","0.05004166483926144","0","1","54.95","1.1","56","1.1991446314921086","2.672250464236248","0.29385296995655297","0.058252315058243374","escape","pursue","1"
"10","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","777","92","0.05004166483926144","0","1","38.15","0.7000000000000001","38.800000000000004","0.645930551198229","1.5982168215211459","4.4709170168617876","0.056922144885776536","escape","pursue","1"
"18","0.5","15","180","5","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1387","90","0.05004166483926144","0","1","68.8","0.55","69.3","0.4124831340573462","2.8113254719120873","0.6089854905118958","0.007832428682620124","escape","pursue","1"
