BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predator-prey-model-revised-17_03_2020.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/26/2020 21:03:14:586 +1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75,75,-75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],prey-limb-length,prey-vision-distance,prey-vision-angle,freeze-distance,flight-initiation-distance,prey-exhaustion-distance,time-to-turn,time-spent-circling,predator-limb-length,predator-vision-distance,predator-vision-angle,predator-exhaustion-distance,kill-distance,obstacle-proportion,obstacle-radius,prey-obstacle-sensitivity,predator-obstacle-sensitivity,number-of-refuges,number-of-target-patches,[step],number-obstacles,count patches with [ pcolor = brown ] / count patches,prey-win,predator-win,detect-time,pursuit-time,sim-time,prey-escape-length,predator-pursuit-length,prey-curviness,predator-curviness,[ behaviour ] of one-of prey,[ behaviour ] of one-of predators,prey-detected
1,0.5,15,180,10,5,610,3,1,0.5,15,180,510,3,0.05,1,0.99,0.99,1,0,4207,90,0.050041665,0,1,209.95,0.4,210.3,1.58070335,0.182247731,0.549923826,1.645010538,escape,pursue,1
24,0.5,15,180,10,5,10,3,1,0.5,15,180,510,0.5,0.05,1,0.99,0.99,1,0,18000,87,0.050041665,1,0,352.1,0,899.95,0,0,0,0,forage,search,1
166,0.5,15,180,10,5,10,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,3876,92,0.050041665,1,0,191.65,2.15,193.75,4.780006553,4.104113547,0.084347921,0.046115113,safe,search,1
294,0.5,15,180,10,5,10,3,1,0.5,15,180,510,1.5,0.05,1,0.99,0.99,1,0,86,89,0.050041665,1,0,3.25,1.05,4.25,5.688305361,0.551967492,0.517689525,1.144308582,safe,search,1
273,0.5,15,180,10,5,10,3,1,0.5,15,180,510,1.5,0.05,1,0.99,0.99,1,0,18000,97,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
332,0.5,15,180,10,5,10,3,1,0.5,15,180,510,2,0.05,1,0.99,0.99,1,0,18000,90,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
324,0.5,15,180,10,5,10,3,1,0.5,15,180,510,2,0.05,1,0.99,0.99,1,0,18000,87,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
376,0.5,15,180,10,5,10,3,1,0.5,15,180,510,2,0.05,1,0.99,0.99,1,0,18000,87,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
559,0.5,15,180,10,5,10,3,1,0.5,15,180,510,3,0.05,1,0.99,0.99,1,0,934,89,0.050041665,1,0,46.05,0.65,46.65,2.012742505,0.515963542,0.438689258,0.544997405,safe,search,1
506,0.5,15,180,10,5,10,3,1,0.5,15,180,510,3,0.05,1,0.99,0.99,1,0,18000,90,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
531,0.5,15,180,10,5,10,3,1,0.5,15,180,510,3,0.05,1,0.99,0.99,1,0,18000,88,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
547,0.5,15,180,10,5,10,3,1,0.5,15,180,510,3,0.05,1,0.99,0.99,1,0,18000,87,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
626,0.5,15,180,10,5,10,3,1,0.5,15,180,510,3.5,0.05,1,0.99,0.99,1,0,18000,87,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
627,0.5,15,180,10,5,10,3,1,0.5,15,180,510,3.5,0.05,1,0.99,0.99,1,0,18000,93,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
659,0.5,15,180,10,5,10,3,1,0.5,15,180,510,3.5,0.05,1,0.99,0.99,1,0,18000,92,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
689,0.5,15,180,10,5,10,3,1,0.5,15,180,510,3.5,0.05,1,0.99,0.99,1,0,18000,90,0.050041665,1,0,899.95,0,899.95,0,0,0,0,forage,stalk,1
721,0.5,15,180,10,5,10,3,1,0.5,15,180,510,4,0.05,1,0.99,0.99,1,0,18000,87,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
737,0.5,15,180,10,5,10,3,1,0.5,15,180,510,4,0.05,1,0.99,0.99,1,0,18000,93,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
759,0.5,15,180,10,5,10,3,1,0.5,15,180,510,4,0.05,1,0.99,0.99,1,0,18000,93,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
786,0.5,15,180,10,5,10,3,1,0.5,15,180,510,4,0.05,1,0.99,0.99,1,0,18000,85,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
761,0.5,15,180,10,5,10,3,1,0.5,15,180,510,4,0.05,1,0.99,0.99,1,0,18000,94,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
795,0.5,15,180,10,5,10,3,1,0.5,15,180,510,4,0.05,1,0.99,0.99,1,0,18000,92,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
857,0.5,15,180,10,5,10,3,1,0.5,15,180,510,4.5,0.05,1,0.99,0.99,1,0,18000,83,0.050041665,1,0,899.95,0,899.95,0,0,0,0,forage,search,1
826,0.5,15,180,10,5,10,3,1,0.5,15,180,510,4.5,0.05,1,0.99,0.99,1,0,18000,90,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
870,0.5,15,180,10,5,10,3,1,0.5,15,180,510,4.5,0.05,1,0.99,0.99,1,0,18000,92,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
880,0.5,15,180,10,5,10,3,1,0.5,15,180,510,4.5,0.05,1,0.99,0.99,1,0,18000,85,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
1036,0.5,15,180,10,5,110,3,1,0.5,15,180,510,0.5,0.05,1,0.99,0.99,1,0,964,95,0.050041665,1,0,39.2,3.95,48.15,14.4686388,0,0.103139214,0,safe,search,1
1019,0.5,15,180,10,5,110,3,1,0.5,15,180,510,0.5,0.05,1,0.99,0.99,1,0,6390,91,0.050041665,1,0,318.3,1.2,319.45,6.564948436,2.188317902,0.209679468,0.066318868,safe,search,1
1027,0.5,15,180,10,5,110,3,1,0.5,15,180,510,0.5,0.05,1,0.99,0.99,1,0,6807,89,0.050041665,1,0,299.45,40.9,340.3,104.1846711,16.72222625,0.243344047,0.519439425,safe,search,1
1059,0.5,15,180,10,5,110,3,1,0.5,15,180,510,0.5,0.05,1,0.99,0.99,1,0,2069,82,0.050041665,1,0,80.45,23,103.4,75.92180292,10.39312381,0.171630193,0.389137694,safe,search,1
944,0.5,15,180,10,5,10,3,1,0.5,15,180,510,5,0.05,1,0.99,0.99,1,0,18000,91,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
1081,0.5,15,180,10,5,110,3,1,0.5,15,180,510,0.5,0.05,1,0.99,0.99,1,0,423,98,0.050041665,1,0,1.2,19.95,21.1,39.24105053,22.78724024,0.216765268,0.259534788,safe,search,1
1050,0.5,15,180,10,5,110,3,1,0.5,15,180,510,0.5,0.05,1,0.99,0.99,1,0,7119,88,0.050041665,1,0,324.9,31.05,355.9,100.7197035,11.3514683,0.118564518,0.177246053,safe,search,1
968,0.5,15,180,10,5,10,3,1,0.5,15,180,510,5,0.05,1,0.99,0.99,1,0,18000,98,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
1005,0.5,15,180,10,5,110,3,1,0.5,15,180,510,0.5,0.05,1,0.99,0.99,1,0,18000,84,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
1078,0.5,15,180,10,5,110,3,1,0.5,15,180,510,0.5,0.05,1,0.99,0.99,1,0,12563,94,0.050041665,1,0,607.75,20.4,628.1,44.05273996,20.84796031,0.163552918,0.37379488,safe,search,1
1200,0.5,15,180,10,5,110,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,5103,91,0.050041665,1,0,236.8,18.35,255.1,57.34252024,21.06033167,0.246422877,0.265060696,safe,search,1
1234,0.5,15,180,10,5,110,3,1,0.5,15,180,510,1.5,0.05,1,0.99,0.99,1,0,1725,94,0.050041665,1,0,83.6,2.65,86.2,10.80520411,2.730831864,0.080935234,0.399349661,safe,search,1
1257,0.5,15,180,10,5,110,3,1,0.5,15,180,510,1.5,0.05,1,0.99,0.99,1,0,2816,92,0.050041665,1,0,128.8,12,140.75,23.15789775,16.28502794,0.169747627,0.184805511,safe,search,1
1159,0.5,15,180,10,5,110,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,18000,93,0.050041665,1,0,0,0,899.95,0,0,0,0,forage,search,0
1269,0.5,15,180,10,5,110,3,1,0.5,15,180,510,1.5,0.05,1,0.99,0.99,1,0,1999,99,0.050041665,1,0,73.25,26.7,99.9,72.3440812,1.128102619,0.20406654,0.754453958,safe,search,1
1191,0.5,15,180,10,5,110,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,18000,95,0.050041665,1,0,716.4,41.35,899.95,110.0094778,57.93123242,0.234678987,0.614962432,exhausted,search,1
1265,0.5,15,180,10,5,110,3,1,0.5,15,180,510,1.5,0.05,1,0.99,0.99,1,0,4250,96,0.050041665,1,0,211.65,0.85,212.45,1.327973205,0.581240891,1.752820543,0.739108657,safe,search,1
1224,0.5,15,180,10,5,110,3,1,0.5,15,180,510,1.5,0.05,1,0.99,0.99,1,0,9099,83,0.050041665,1,0,440.1,14.85,454.9,44.73105247,1.101303646,0.158008842,2.763398918,safe,search,1
1341,0.5,15,180,10,5,110,3,1,0.5,15,180,510,2,0.05,1,0.99,0.99,1,0,838,90,0.050041665,1,0,0.1,41.85,41.85,108.749846,9.462274866,0.16808894,0.428842033,safe,search,1
1321,0.5,15,180,10,5,110,3,1,0.5,15,180,510,2,0.05,1,0.99,0.99,1,0,1856,92,0.050041665,1,0,62,30.8,92.75,100.2760567,14.67973959,0.113104702,0.201667158,safe,search,1
1223,0.5,15,180,10,5,110,3,1,0.5,15,180,510,1.5,0.05,1,0.99,0.99,1,0,18000,89,0.050041665,1,0,841.3,42.75,899.95,110.0081099,14.28466842,0.150224235,0.548115657,exhausted,pursue,1
