BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predator-prey-model-revised-17_03_2020.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/14/2020 18:32:41:538 +1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75,75,-75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],prey-limb-length,prey-vision-distance,prey-vision-angle,freeze-distance,flight-initiation-distance,prey-exhaustion-distance,time-to-turn,time-spent-circling,predator-limb-length,predator-vision-distance,predator-vision-angle,predator-exhaustion-distance,kill-distance,obstacle-proportion,obstacle-radius,prey-obstacle-sensitivity,predator-obstacle-sensitivity,number-of-refuges,number-of-target-patches,[step],number-obstacles,count patches with [ pcolor = brown ] / count patches,prey-win,predator-win,detect-time,pursuit-time,sim-time,prey-escape-length,predator-pursuit-length,prey-curviness,predator-curviness,[ behaviour ] of one-of prey,[ behaviour ] of one-of predators,prey-detected
26,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,5,338,0.050041665,0,1,0.15,0.1,0.2,0.145199704,0.277229688,0.061053129,0.221448174,escape,pursue,1
9,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,195,398,0.050041665,0,1,0.1,9.65,9.7,16.05766653,6.662927512,0.386351781,0.745495574,escape,pursue,1
30,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,1272,375,0.050041665,0,1,41.3,22.3,63.55,61.03521324,20.50035487,0.276608389,0.839895665,escape,pursue,1
23,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,1101,384,0.050041665,0,1,15,40.4,55,78.42543027,9.524188871,0.333817923,1.122134032,escape,pursue,1
13,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,669,372,0.050041665,0,1,32.75,0.7,33.4,2.638978728,0.57155243,0.092061464,1.309510471,escape,pursue,1
15,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,725,358,0.050041665,0,1,27.7,8.55,36.2,24.14166832,9.686820632,0.156685709,0.657627478,escape,pursue,1
5,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,1509,377,0.050041665,0,1,74.95,0.5,75.4,2.107788194,0.485531304,0.032291978,0.352245961,escape,pursue,1
21,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,2059,379,0.050041665,0,1,101.85,1.1,102.9,2.435690159,0.670821867,0.673921301,3.377389316,escape,pursue,1
35,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,1502,347,0.050041665,0,1,12.4,62.7,75.05,140.3847383,55.35943312,0.403488204,0.798054435,escape,pursue,1
32,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,2567,348,0.050041665,0,1,85.9,42.45,128.3,104.2726815,21.28850205,0.360587342,0.692338977,escape,pursue,1
37,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,371,360,0.050041665,0,1,17.25,1.3,18.5,6.650340249,1.663660121,0.85826724,0.544252226,escape,pursue,1
29,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,4323,370,0.050041665,0,1,49.85,166.3,216.1,366.8732827,73.6468868,0.284167102,0.869210973,circle,stalk,1
40,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,565,388,0.050041665,0,1,6.9,21.35,28.2,57.17449258,15.61979061,0.277670022,1.253092518,escape,search,1
17,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,2859,390,0.050041665,0,1,141.95,1,142.9,4.377606661,0.183718022,0.019643833,4.54603472,escape,search,1
27,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,3101,355,0.050041665,0,1,153.9,1.15,155,0.367439931,1.479736959,3.428855192,0.144779455,escape,search,1
36,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,5524,378,0.050041665,0,1,24.95,223.4,276.15,510.0958221,80.21283923,0.319679708,0.932776704,exhausted,pursue,1
18,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,6799,382,0.050041665,0,1,118.95,209.15,339.9,510.1638432,124.4662254,0.258750972,0.801818596,exhausted,pursue,1
41,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,638,398,0.050041665,0,1,30.75,1.15,31.85,2.405406256,0.913531713,1.480842616,0.375988354,escape,pursue,1
39,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,3552,363,0.050041665,0,1,25.35,152.25,177.55,327.7390753,43.01693547,0.362184319,0.787504049,escape,pursue,1
50,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,142,359,0.050041665,0,1,0,0,7.05,0,0,0,0,escape,pursue,1
45,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,1206,362,0.050041665,0,1,47.05,13.25,60.25,29.19496194,12.58679372,0.399710453,0.704360069,escape,pursue,1
25,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,5894,353,0.050041665,0,1,287.85,6.85,294.65,10.84535646,7.356269518,0.267623617,0.676306271,escape,pursue,1
48,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,2952,358,0.050041665,0,1,145.75,1.85,147.55,5.927875133,2.137659234,0.229511856,0.412355188,escape,pursue,1
24,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,7010,400,0.050041665,0,1,349.8,0.7,350.45,2.161765909,1.215050541,0.042998565,0.402092647,escape,pursue,1
53,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,2470,384,0.050041665,0,1,44.7,78.8,123.45,163.2706265,39.22004978,0.364526343,1.074498408,escape,search,1
33,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,8259,361,0.050041665,0,1,261.15,151.8,412.9,369.4747143,60.57918057,0.282374462,0.720978235,escape,pursue,1
19,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,8060,390,0.050041665,0,1,355,48,402.95,96.5955633,44.73549085,0.327274219,0.814833677,escape,pursue,1
6,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,11269,362,0.050041665,0,1,439.1,124.35,563.4,260.3017125,66.94596386,0.328982713,0.860473456,escape,pursue,1
20,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,12037,380,0.050041665,0,1,319.95,245.25,601.8,510.1772055,43.24440159,0.362980477,0.948028305,exhausted,pursue,1
4,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,8945,362,0.050041665,0,1,420.3,26.95,447.2,55.28385234,14.37137037,0.419168724,0.704010781,escape,pursue,1
3,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,8929,340,0.050041665,0,1,368.9,30.1,446.4,77.35913948,28.45713975,0.189459716,0.815394848,escape,search,1
16,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,10597,358,0.050041665,0,1,528.8,1.05,529.8,3.705018714,0.598335325,0.070382409,3.431262946,escape,pursue,1
7,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,9854,354,0.050041665,0,1,471.4,21.3,492.65,52.93924605,20.62535648,0.246658549,0.788631374,escape,pursue,1
1,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,11024,338,0.050041665,0,1,547.6,3.6,551.15,7.54849567,1.487049852,0.930572237,1.412154266,escape,pursue,1
55,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,6208,350,0.050041665,0,1,309.7,0.7,310.35,3.085168415,0.68494045,0.480887425,1.355072805,escape,pursue,1
2,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,15360,356,0.050041665,0,1,551.7,214.4,767.95,510.0851647,104.949536,0.244740605,0.792407983,exhausted,pursue,1
22,0.5,15,180,10,5,510,3,1,0.1,15,180,510,1,0.05,0.5,0.99,0.99,1,0,12063,353,0.050041665,0,1,599,4.15,603.1,4.412939366,1.123604488,1.833343494,0.743101026,escape,pursue,1
