"BehaviorSpace results (NetLogo 6.1.1)"
"predator-prey-model-revised-17_03_2020.nlogo"
"PS 156"
"05/28/2020 21:00:19:380 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","prey-limb-length","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-limb-length","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"13","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.99","1","0","605","85","0.05004166483926144","0","1","30","0.25","30.200000000000003","0.2282474357042367","0.36930557188432855","0.40882445167703924","0.15616257330423938","escape","pursue","1"
"26","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.99","1","0","2906","86","0.05004166483926144","0","1","22.200000000000003","123.10000000000001","145.25","352.0225933899176","20.389886389344838","0.1802896198262623","0.41153384360262346","escape","pursue","1"
"27","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.99","1","0","1233","91","0.05004166483926144","0","1","26.200000000000003","35.45","61.6","69.59101135452131","19.688867095588275","0.30309856036091964","0.32830315007688","escape","pursue","1"
"30","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.99","1","0","1310","83","0.05004166483926144","0","1","65.45","0","65.45","0","0","0","0","forage","stalk","1"
"11","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.99","1","0","1740","93","0.05004166483926144","0","1","44.900000000000006","42.1","86.95","84.53614801587496","12.668339877394887","0.40090406582689697","1.0938724347946063","escape","pursue","1"
"17","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.99","1","0","1158","94","0.05004166483926144","0","1","57.85","0","57.85","0","0","0","0","forage","stalk","1"
"28","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.99","1","0","5839","92","0.05004166483926144","0","1","1.55","185.9","291.90000000000003","510.0227224646251","75.09602384315673","0.1745774720604631","0.5159194526471167","exhausted","pursue","1"
"7","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.99","1","0","1911","89","0.05004166483926144","0","1","56.2","39.35","95.5","117.49610445462852","22.49466974813653","0.17191228391369082","0.4145144166523544","escape","pursue","1"
"1","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.99","1","0","2016","85","0.05004166483926144","0","1","100.75","0","100.75","0","0","0","0","forage","stalk","1"
"16","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.99","1","0","3717","91","0.05004166483926144","1","0","71.15","114.7","185.8","295.5928381865762","24.946821219382386","0.18847679998265737","0.5405766533822989","safe","search","1"
