"BehaviorSpace results (NetLogo 6.1.1)"
"predator-prey-model-revised-17_03_2020.nlogo"
"PS 171"
"05/31/2020 19:29:50:548 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","prey-limb-length","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-limb-length","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"31","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","327","86","0.05004166483926144","0","1","16.1","0.25","16.3","0.29371204063219214","1.2987265045189182","0.2468909528192603","0.0038243061284972428","escape","pursue","1"
"13","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","278","90","0.05004166483926144","0","1","4.800000000000001","9.1","13.850000000000001","30.540566870981472","6.387095670541531","0.11521119962858135","0.40146484639950536","escape","pursue","1"
"1","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","1868","90","0.05004166483926144","0","1","32.35","61.050000000000004","93.35000000000001","147.83652807475642","32.974323501087305","0.15573077641106375","0.4831680216593117","escape","pursue","1"
"25","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","1105","86","0.05004166483926144","0","1","54.95","0.30000000000000004","55.2","0.07979264592600793","1.73108093168759","4.819927810836516","0.008410398274513096","escape","pursue","1"
"23","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","898","90","0.05004166483926144","0","1","32.7","12.3","44.85","38.87045181386496","15.75518579145451","0.20673476082603137","0.13953552192459265","escape","search","1"
"34","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","1527","90","0.05004166483926144","0","1","75.95","0.4","76.3","0.08312813920911233","0.7583854867656097","7.906728497983564","0.09499766218453369","escape","pursue","1"
"40","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","3499","85","0.05004166483926144","0","1","59.300000000000004","115.65","174.9","325.9307203096271","10.543217884786785","0.18406050353145958","0.2832470187214852","escape","pursue","1"
"21","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","4150","90","0.05004166483926144","0","1","3.1500000000000004","172.45000000000002","207.45000000000002","510.04580843129213","37.238162025509205","0.13261989543555314","0.5236506723491463","exhausted","pursue","1"
"41","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","2083","89","0.05004166483926144","0","1","7.75","63.85","104.10000000000001","203.84795558865534","26.516590488211047","0.10486373873842769","0.2615273970629055","escape","pursue","1"
"30","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","5034","94","0.05004166483926144","0","1","0.8","189.8","251.65","510.17814985892386","32.95462872167926","0.1550927676920953","0.5222498810637569","exhausted","pursue","1"
"15","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","4227","87","0.05004166483926144","0","1","45.75","165.60000000000002","211.3","431.8878463060102","62.073933501358574","0.1582663335283292","0.3684874600601168","escape","pursue","1"
"17","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","1381","87","0.05004166483926144","0","1","55.900000000000006","13.15","69","20.721085080637913","16.655185221499284","0.30837865137865544","0.30301551814416133","escape","pursue","1"
"16","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","2871","90","0.05004166483926144","0","1","123.60000000000001","19.950000000000003","143.5","40.58990916953208","22.78888566871057","0.4289249541563369","0.2556265148047159","escape","pursue","1"
"49","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","438","86","0.05004166483926144","0","1","21.85","0","21.85","0","0","0","0","forage","stalk","1"
"36","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","2699","95","0.05004166483926144","0","1","123.75","11.200000000000001","134.9","20.343854560714856","13.077394504308083","0.24704912531791193","0.2561264864410501","escape","pursue","1"
"45","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","5081","91","0.05004166483926144","0","1","20.55","203.8","254","510.0510228405756","79.65459864458735","0.2325646160317759","0.3519763310626674","exhausted","pursue","1"
"37","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","4701","86","0.05004166483926144","0","1","56.6","169.4","235","419.064367120253","30.94222733312369","0.20709915373371157","0.48099107010081005","escape","pursue","1"
"47","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","508","84","0.05004166483926144","0","1","21.950000000000003","3.45","25.35","9.092803121376376","2.2311510947103392","0.7809365102724052","1.5042391828956738","escape","search","1"
"14","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","4669","84","0.05004166483926144","0","1","102.9","130.55","233.4","310.8232593786214","18.493352762865282","0.2021840014741982","0.6015014559482786","escape","pursue","1"
"22","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","6830","90","0.05004166483926144","0","1","69.15","206.55","341.45000000000005","510.0324397334457","88.56515095103815","0.23186309939490268","0.4191504652583689","exhausted","pursue","1"
"8","0.5","15","180","10","5","510","3","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","6327","91","0.05004166483926144","0","1","88.05000000000001","210.20000000000002","316.3","510.11908736658245","69.74125505872587","0.1964134643210621","0.2807330390134221","exhausted","pursue","1"
