1,prey.limb.length,prey.vision.distance,prey.vision.angle,freeze.distance,flight.initiation.distance,prey.exhaustion.distance,time.to.turn,time.spent.circling,predator.limb.length,predator.vision.distance,predator.vision.angle,predator.exhaustion.distance,kill.distance,obstacle.proportion,obstacle.radius,prey.obstacle.sensitivity,predator.obstacle.sensitivity,number.of.refuges,number.of.target.patches,prob.escape,prob.avoid.detection,mean.sim.time,median.sim.time,mean.prey.curviness,median.prey.curviness,mean.predator.curviness,median.predator.curviness,prob.escape.if.detected,mean.detect.time,median.detect.time,mean.pursuit.time,median.pursuit.time,mean.prey.escape.length,median.prey.escape.length,mean.predator.pursuit.length,median.predator.pursuit.length
predator-prey-model-revised-17_03_2020-PS_001.csv.1,0.1,5,180,10,5,510,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,0.38,0.02,270.02,214.175,0.555874262,0.241728132,0.349681244,0.361922078,0.367346939,183.3591837,145.4,65.52806122,49.375,212.1138347,154.0647423,23.90563405,16.32783482
predator-prey-model-revised-17_03_2020-PS_001.csv.77,0.1,10,180,10,5,510,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,0.42,0.01,273.028,211.075,0.365043112,0.239436045,0.441172639,0.42072371,0.414141414,204.1737374,129,58.03585859,50.05,188.8641183,167.1342218,21.58977832,15.65792365
predator-prey-model-revised-17_03_2020-PS_001.csv.175,0.1,15,180,10,5,510,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,0.4,0.05,311.278,227.775,0.400266972,0.243161283,0.399765981,0.415505261,0.368421053,204.9036842,118.25,61.14368421,44.45,197.006213,148.5120161,20.83492784,14.58461691
predator-prey-model-revised-17_03_2020-PS_001.csv.276,0.1,20,180,10,5,510,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,0.44,0.01,292.1175,241.425,0.542637539,0.252520148,0.415183582,0.40053947,0.434343434,230.6757576,165.1,48.46262626,27.95,158.2111187,99.22779845,22.06861897,11.85141098
predator-prey-model-revised-17_03_2020-PS_001.csv.367,0.1,25,180,10,5,510,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,0.36,0.02,272.2045,228.25,0.363574665,0.2524867,0.474674192,0.423740816,0.346938776,191.6443878,146.675,50.83928571,25.925,167.5110177,86.55649417,21.21618792,13.42037059
predator-prey-model-revised-17_03_2020-PS_001.csv.477,0.1,30,180,10,5,510,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,0.45,0.03,338.0215,293.575,0.33780771,0.241987804,0.461674555,0.444748661,0.432989691,241.7128866,156.25,66.44587629,52.7,216.5323368,174.9794716,26.71928926,18.01754288
predator-prey-model-revised-17_03_2020-PS_001.csv.578,0.2,5,180,10,5,510,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,0.2,0.01,328.726,268.925,0.513022699,0.207528878,0.443525173,0.371267424,0.191919192,236.6378788,183.45,66.79949495,83.35,265.5820958,323.9349895,18.0895798,10.82673971
predator-prey-model-revised-17_03_2020-PS_001.csv.680,0.2,10,180,10,5,510,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,0.18,0.01,299.4005,273.25,0.293787604,0.191559052,0.429035909,0.390043297,0.171717172,177.6681818,105.95,81.55909091,101,327.9458312,411.4402022,22.55551136,15.5465619
predator-prey-model-revised-17_03_2020-PS_001.csv.769,0.2,15,180,10,5,510,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,0.19,0.02,305.364,254.8,0.319194584,0.197349462,0.407141313,0.389096888,0.173469388,199.9872449,141.3,67.76836735,63.575,274.6077886,262.4907911,19.91079525,14.05158115
predator-prey-model-revised-17_03_2020-PS_001.csv.866,0.2,20,180,10,5,510,3,1,0.5,15,180,510,1,0.05,1,0.99,0.99,1,0,0.17,0.01,301.441,250.425,0.38184225,0.190294471,0.383644625,0.383047917,0.161616162,195.7762626,138.5,69.11060606,82.55,278.4198312,313.7679701,19.62096174,15.72884784
